catId,catName,prodDesc,prodId,prodName,prodPrice
77,Fruit,"Norske. 500 g. Pr kg 99,80",148,Moreller,49.9
77,Fruit,"Norske. 500 g. Pr kg 99,80",161,Moreller,49.9
77,Fruit,Pr kg,162,Bananer,16.9
77,Fruit,"Røde/gule/grønne epler, appelsiner, klementiner og pærer. Pr kg",307,Plukk & miks,12.9
77,Fruit,Pr kg,579,Appelsiner,14.9
77,Fruit,"400 g. Pr kg 67,25",595,Økologiske druer,26.9
77,Fruit,Pr kg,596,Appelsiner,14.9
77,Fruit,"125 g Fra 140,00/kg",599,Bringebær,35.0
77,Fruit,"Delt kr 16,90 pr kg. PR KG",145,Hel ananas,14.9
77,Fruit,"En stk fra 19,90",302,Mango stk,20.0
77,Fruit,"PR KG. Epler, pærer, appelsiner og klementiner",320,Plukk og miks,12.9
77,Fruit,"PR KG. Epler, pærer, appelsiner og klementiner",342,Plukk og miks,12.9
77,Fruit,1 stk se hylleetikett,348,Mango,20.0
77,Fruit,"125 g. Fra 140,00/kg. se hylleetikett",640,Blåbær og bringebær,35.0
77,Fruit,"125 g. Fra 140,00/kg. 1 pk se hylleetikett",685,Blåbær og bringebær,35.0
77,Fruit,"Grønne eller fargede. 500 g Pr kg 45,80",1149,Druer i kurv,22.9
77,Fruit,"Grønne eller fargede. 500 g Pr kg 45,80",1192,Druer i kurv,22.9
77,Fruit,Kurv. 1 kg,1863,Nektariner,19.9
77,Fruit,Kurv. 1 kg,1889,Nektariner,19.9
77,Fruit,Gul og grønn 1 stk se hylleetikett,1890,Kiwi,20.0
77,Fruit,"Delt 16,90 pr kg. PR KG",1891,Hel vannmelon,14.9
77,Fruit,"125 g. Pr kg 159,20",6058,Bringebær,19.9
77,Fruit,PR PK. Modnet,6063,Avokado 2 stk,24.9
77,Fruit,Pr kg. PR KG,7946,Mandariner,24.9
77,Fruit,"PR PK. 125 g. Pr kg 159,20",7951,Blåbær,19.9
77,Fruit,Modnet,10603,Avokado 2 stk,26.9
77,Fruit,Pr kg,10611,Klementiner,22.9
77,Fruit,1 stk se hylleetikett,10625,Mango,30.0
77,Fruit,Løsvekt. Pr kg,16370,Appelsiner,16.9
77,Fruit,Pris ved kjøp av 1 stk se hylleetikett,16421,Mango,30.0
77,Fruit,Løsvekt. Pr kg,17129,Appelsiner,16.9
77,Fruit,Pr kg,29959,Pærer,19.9
77,Fruit,"PR PK. Import. 400 g Pr kg 74,75",29995,Jordbær,29.9
77,Fruit,"1,5 liter, pr. l 11,27",40,Olden eple,16.9
77,Fruit,,46,Avokado,19.9
77,Fruit,"Cevita, pr. kg",51,Klementiner,24.9
77,Fruit,"Vittoria, pr. kg",55,Druer,19.9
77,Fruit,"200 g pr. kg 69,50 Prisen gjelder uke 12",990,Smågodt druer,13.9
77,Fruit,"120 g pr. kg 115,83",995,Smågodt ananas,13.9
77,Fruit,"100 g pr. kg 139,00",996,Smågodt blåbær,13.9
77,Fruit,"120 g pr. kg 115,83",1000,Smågodt fruktmiks,13.9
77,Fruit,"200 g pr. kg 69,50",1001,Smågodt druer,13.9
77,Fruit,Pr. kg Melonprisen gjelder uke 22,1259,Vannmelon,9.9
77,Fruit,,1278,Avokado,19.9
77,Fruit,Pr. kg,1285,Vannmelon,9.9
77,Fruit,Pr. kg Melonprisen gjelder uke 22,1370,Vannmelon,9.9
77,Fruit,,1389,Avokado,19.9
77,Fruit,Pr. kg,1396,Vannmelon,9.9
77,Fruit,"Import, pr. kg",1572,Moreller,79.0
77,Fruit,Pr. kg,1711,Honningmelon,19.9
77,Fruit,"Import, pr. kg",1712,Moreller,79.0
77,Fruit,Pr kg.,502,Pærer,16.9
77,Fruit,"1,5 kg. Pr nett. Pr kg 19,93.",506,Økologiske appelsiner,29.9
77,Fruit,6 stk,751,Pink lady epler,25.0
77,Fruit,"Bringebær eller bjørnebær. 125 g. Pr pk Pr kg 160,00.",756,BÆR,20.0
77,Fruit,6 stk. Pr pk. Kronemarked. kronemarked,849,Pink lady epler,25.0
77,Fruit,Pr stk. Kronemarked. kronemarked,850,MANGO,10.0
77,Fruit,"125 g. Pr kg 120,00. KRONEMARKED. KRONEMARKED",851,Blåbær,15.0
77,Fruit,"Bringebær eller bjørnebær. 125 g. Pr pk Pr kg 160,00. Kronemarked. kronemarked",852,Bær,20.0
77,Fruit,,853,KIWI Grønne,10.0
77,Fruit,Røde. 6 stk. Pr pk. Kronemarked. kronemarked,854,Joya epler,20.0
77,Fruit,6 stk,871,Pink lady epler,25.0
77,Fruit,"Bringebær eller bjørnebær. 125 g. Pr pk Pr kg 160,00.",876,BÆR,20.0
77,Fruit,6 stk. Pr pk. Kronemarked. kronemarked,969,Pink lady epler,25.0
77,Fruit,Pr stk. Kronemarked. kronemarked,970,MANGO,10.0
77,Fruit,"125 g. Pr kg 120,00. KRONEMARKED. KRONEMARKED",971,Blåbær,15.0
77,Fruit,"Bringebær eller bjørnebær. 125 g. Pr pk Pr kg 160,00. Kronemarked. kronemarked",972,Bær,20.0
77,Fruit,,973,KIWI Grønne,10.0
77,Fruit,Røde. 6 stk. Pr pk. Kronemarked. kronemarked,974,Joya epler,20.0
77,Fruit,1 kg. Pr kurv,3882,NEKTARINER,14.9
77,Fruit,,438,Kiwi,10.0
77,Fruit,"pr kg, gule/r?de, Cevita",440,Appelsiner,20.0
77,Fruit,"nett, First Price",442,Appelsiner,10.0
77,Fruit,"stor, spisemoden, Chile",1605,Avokado,24.9
77,Fruit,"6pk grønn, 5pk gul, Italia/New Zealand",1607,Kiwi,29.9
77,Fruit,"(delt 14,90/kg). pr kg",3952,Hel vannmelon,9.9
77,Fruit,"Grønne eller fargede. 500 g Pr kg 45,80",1103,Druer i kurv,22.9
77,Fruit,"Grønne eller fargede. 500 g Pr kg 45,80",1143,Druer i kurv,22.9
77,Fruit,Pr kg,1147,Pærer,16.9
77,Fruit,"Pr kg Delt 16,90",4011,Honningmelon,14.9
77,Fruit,Pr kg,4057,Bananer,16.9
77,Fruit,"Pr kg Delt 14,90",4061,Ananas,12.9
77,Fruit,"Steinfrie. Grønne eller fargede. 500 g. Pr kg 39,80",7839,Druer i kurv,19.9
77,Fruit,Pr kg,10779,Appelsiner,16.9
77,Fruit,"Pr kg Delt 16,90",10795,Ananas,16.9
77,Fruit,"125 g. Pr kg 135,20",30139,Blåbær,16.9
77,Fruit,"125 g. Pr kg 199,20",30188,Bringebær,24.9
77,Fruit,Modnet,30189,Avokado 2 pk,26.9
77,Fruit,"Delt 26,90",30190,Cantaloupe-melon,24.9
77,Fruit,Pr kg,30192,Klementiner,24.9
77,Fruit,"Cevita, 400g Enh.pris 74,75 pr.kg",535,Jordbær,29.9
77,Fruit,"Pr hg Pr kg 99,00",1903,Moreller,9.9
77,Fruit,"Hel. Pr kg Delt 16,90",1905,Ananas,14.9
77,Fruit,Pr kg,1906,Sitroner,29.9
77,Fruit,"Steinfrie. Grønne eller fargede. 500 g. Pr kg 39,80",7886,Druer i kurv,19.9
77,Fruit,Pr kg,10716,Appelsiner,16.9
77,Fruit,"Pr kg Delt 16,90",10732,Ananas,16.9
77,Fruit,"125 g. Pr kg 135,20",30193,Blåbær,16.9
77,Fruit,"Delt 26,90",30213,Cantaloupe-melon,24.9
77,Fruit,Pr kg,30215,Klementiner,24.9
77,Fruit,"500 g. Pr kg 39,80",30217,Klasetomater,19.9
77,Fruit,"125 g. Pr kg 199,20",30218,Bringebær,24.9
77,Fruit,Modnet,30219,Avokado 2 pk,26.9
77,Fruit,PR. KURV. BaRe,1530,Nektarin kurv,20.0
77,Fruit,PR. KG. Spania,1531,Vannmelon hel / delt,10.0
77,Fruit,"BaRe, 10,00 Alltid 10% lavere pris på frukt og grønt når du handler med Æ",1722,Mango,10.0
77,Fruit,"BaRe, 10,00 Alltid 10% lavere pris på frukt og grønt når du handler med Æ",1723,Ananas gold,10.0
77,Fruit,"Kurv, 1 kg, 20,00 pr. kg Alltid 10% lavere pris på frukt og grønt når du handler med Æ",1724,Nektarin,20.0
77,Fruit,"90. BaRe, 320 g, 93,44 pr. kg Alltid 10% lavere pris på frukt og grønt når du handler med Æ",1725,Spisemoden avocado 2-pk,29.9
77,Fruit,"BaRe, 125 g, 80,00 pr. kg Alltid 10% lavere pris på frukt og grønt når du handler med Æ",1729,Blåbær,10.0
77,Fruit,"Frys, Kolonihagen, Norrek, 250 g, 80,00 pr. kg",1761,Økologiske bær,20.0
77,Fruit,"PR. HG. Tyrkia, BaRe, 89,00 pr. kg",1820,Moreller,8.9
77,Fruit,"BaRe, 125 g. 10,00",1821,Blåbær,10.0
77,Fruit,"PR. KURV. . BaRe, 1 kg kurv, 20,00 pr. kg",1822,Nektariner i kurv,20.0
77,Fruit,"PR.  BaRe, 29,00 pr",1823,Spisemoden avocado,29.0
77,Fruit,,2879,"Nektariner, kurv",19.9
77,Fruit,,3830,Druer grønne,24.9
77,Fruit,,3848,Sunniva Juice,40.0
77,Fruit,,5773,Kiwi,10.0
77,Fruit,,5801,Bananer,15.9
77,Fruit,,5817,Kiwi,10.0
77,Fruit,,5840,Bananer,14.9
77,Fruit,,10234,Druer røde beger,24.9
77,Fruit,,10536,Druer Røde beger,24.9
77,Fruit,,11084,Klementiner,16.9
77,Fruit,"Grønne eller fargede. 500 g. Pr kg 39,80",1054,Druer,19.9
77,Fruit,"400 g. Pr kg 50,00",1195,Jordbær,20.0
77,Fruit,"125 g. Pr kg 160,00",1199,Bringebær,20.0
77,Fruit,"125 g. Pr kg 120,00",1200,Blåbær,15.0
77,Fruit,Pr kg,1213,Änglamark økologiske bananer,20.0
77,Fruit,1 kg. Pr kurv,1908,Nektariner,19.9
77,Fruit,,1913,Mango,30.0
77,Fruit,"Fargede eller grønne. 500 g. Pr kg 39,80",3787,Druer,19.9
77,Fruit,"Farget eller grønn. 500 g. Pr kg 49,80",3798,Coop smak forskjellen druer,24.9
77,Fruit,"Farget eller grønn. 500 g. Pr kg 49,80",3936,Coop smak forskjellen druer,24.9
77,Fruit,Modnet,10822,Avocado 2 pk,50.0
77,Fruit,Pr kg,10832,Klementiner,22.9
77,Fruit,Modnet,10883,Avocado 2 pk,50.0
77,Fruit,Pr kg,10892,Klementiner,22.9
77,Fruit,Norske. Pr kg,11158,Røde epler,24.9
77,Fruit,"250 g. Pr kg 51,60",11159,Lille-knerten druer,12.9
77,Fruit,"125 g. Pr kg 159,20",11162,Bringebær/bjørnebær,19.9
77,Fruit,"125 g. Pr kg 135,20",11171,Blåbær,16.9
77,Fruit,". Kan brukes både liggende og stående. Fra 1 år. fisher price. 10 ulike aktiviteter,fargerike musikkmoduser",11636,Fisher Price sit and stand parkeringshus,799.0
77,Fruit,Pr kg,11833,Klementiner,19.9
77,Fruit,300 g,11849,Avokado modnet 2 pk,50.0
77,Fruit,Pr kg,11903,Klementiner,19.9
77,Fruit,300 g,11915,Avokado modnet 2 pk,50.0
77,Fruit,Pr kg,16156,Appelsiner,15.0
77,Fruit,,16157,Pomelo,15.0
77,Fruit,Pr kg,16158,Grapefrukt,15.0
77,Fruit,"Utvalgte varianter. Fryst. 4 x 125 g. Pr kg 159,80",16794,Coop/lerøy fryst fiskefilet,79.9
77,Fruit,Pr kg,16813,Appelsiner,15.0
77,Fruit,,16814,Pomelo,15.0
77,Fruit,Pr kg,16815,Grapefrukt,15.0
77,Fruit,Pr kg,29819,Appelsiner,16.9
77,Fruit,Pr kg,29848,Grapefrukt rød,16.9
77,Fruit,120 g,29852,Lille-knerten druer,25.0
77,Fruit,"pr kg, First Price",712,Bananer,9.9
77,Fruit,"pr kg, First Price",730,Bananer,9.9
77,Fruit,"pr kg, Bendit",731,Bananer,14.9
77,Fruit,"pr kg, Fairtrade/økologisk",732,Bananer,19.9
77,Fruit,"shaker, 225g, Cevita. 132,89/kg",1237,Blåbær,29.9
77,Fruit,"pr stk, Cevita",1238,Mango,19.9
77,Fruit,"hel, pr kg",1774,Vannmelon,6.9
77,Fruit,"hel, pr kg",1793,Vannmelon,6.9
77,Fruit,"hel, pr kg",1794,Piel de Sapo/Cantaloupe/ Honningmelon,19.9
77,Fruit,"bringebær/sitron, 150g, Eldorado. 66,67/kg",2600,Frisk kvarg,10.0
77,Fruit,"2pk, GoEco",2662,Sitron,10.0
77,Fruit,"312g, Eldorado. 28,57/kg u. lake",2683,Mandariner,10.0
77,Fruit,"115ml, Sicilia. 86,96/l",2685,Sitronsaft,10.0
77,Fruit,,2686,Fersken/ nektarin,10.0
77,Fruit,"pr kurv, 300g. 83,00/kg",3697,Bringebær,24.9
77,Fruit,"pr kg, Cevita",3708,Klementiner,29.9
77,Fruit,pr kg,3713,Vittoria druer,29.9
77,Fruit,pr kg,3736,Vittoria druer,29.9
77,Fruit,pr kurv,3751,Nektarin,14.9
77,Fruit,"pr hg. 129,00/kg",3769,Norske moreller,12.9
77,Fruit,"pr kg, Cevita",5964,Klementiner,29.9
77,Fruit,"pr hg. 129,00/kg",5975,Norske moreller,12.9
77,Fruit,"alle varianter, shaker, 100-175g, Cevita. 85,14-149,00/kg",5977,Smågodt,14.9
77,Fruit,"i kurv, 750g. 66,53/kg",5978,Norske plommer,49.9
77,Fruit,"pr kg, Dole",5981,Bananer,16.9
77,Fruit,"pr stk, Season",7102,Avokado,19.9
77,Fruit,pr kg,7116,Grønne druer,19.9
77,Fruit,pr kg,7120,Conferense pærer,19.9
77,Fruit,"pr stk, Season",10930,Avokado,19.9
77,Fruit,"pr kg, Conference",10971,Pærer,19.9
77,Fruit,"pr stk, Cevita",10972,Ananas,19.9
77,Fruit,"pr kg, norske/import",10977,Epler,19.9
77,Fruit,"nett, 1kg, First Price",10978,Appelsiner,19.9
77,Fruit,"i kurv, røde/grønne, steinfrie, 500g, Cevita. 49,80/kg",11130,Druer,24.9
77,Fruit,"kurv, 500g, First Price. 39,80/kg",11138,Røde druer,19.9
77,Fruit,"pr kg, Conference",11148,Pærer,19.9
77,Fruit,"stor, spisemoden, pr stk, Season",29935,Avokado,24.9
77,Fruit,"pr stk, Cevita",29936,Mango,19.9
78,Vegetables,"Cherrytomater 250 g, agurk, hjertesalat , løk eller rødløk 400 g",257,Grønnsaker til taco,10.0
78,Vegetables,"Kjøtt, fisk og lapskaus. Fryst. Fra 500 g. Fra 33,33/kg. fra 32,90",266,Findus grønnsaker perfekt til,50.0
78,Vegetables,Pr kg,597,Søtpoteter,16.9
78,Vegetables,"2 kg. Pr kg 14,95",598,Mandelpoteter 2 kg,29.9
78,Vegetables,"150/250 g Fra 40,00/kg",618,Coop minigulrot/snackgulrot,20.0
78,Vegetables,"480 g Fra 46,88/kg. 26,00",620,Findus wok classic,45.0
